entity,defination
流程控制语句,它提供了控制程序如何执行的方法。如果没有流程控制语句，整个程序将按照线性顺序来执行，而不能根据用户的需求决定程序执行的顺序。
程序结构,计算机在解决某个具体问题时，主要有3种情形，分别是顺序执行所有的语句、选择执行部分语句和循环执行部分语句。程序设计中的3种基本结构为顺序结构、选择结构和循环结构。
选择语句,也称为条件语句，即按照条件选择执行不同的代码片段。Python中选择语句主要有3种形式，分别为if语句、if-else语句和if-elif-else多分支语句。
if语句,表达式可以是一个单纯的布尔值或变量，也可以是比较表达式或逻辑表达式（例如：a > b and a!=c），如果表达式为真，则执行“语句块”；如果表达式的值为假，就跳过“语句块”，继续执行后面的语句。
if-else语句,表达式可以是一个单纯的布尔值或变量，也可以是比较表达式或逻辑表达式，如果满足条件，则执行if后面的语句块，否则，执行else后面的语句块。
if-elif-else语句,表达式可以是一个单纯的布尔值或变量，也可以是比较表达式或逻辑表达式，如果表达式为真，执行语句；而如果表达式为假，则跳过该语句，进行下一个elif的判断,只有在所有表达式都为假的情况下，才会执行else中的语句。
if语句的嵌套,-
条件表达式,根据表达式的结果，有条件地进行赋值。
循环语句,反复做同一件事的情况，称为循环。循环主要有两种类型：重复一定次数的循环，称为计次循环，如for循环。一直重复，直到条件不满足时才结束的循环，称为条件循环。只要条件为真，这种循环会一直持续下去，如while循环。
while循环,通过一个条件来控制是否要继续反复执行循环体中的语句。
for循环,for循环是一个依次重复执行的循环。
循环嵌套,在Python中，允许在一个循环体中嵌入另一个循环。
跳转语句,当循环条件一直满足时，程序将会一直执行下去，就像一辆迷路的车，在某个地方不停地转圈。如果希望在中间离开循环，也就是for循环结束重复之前，或者while循环找到结束条件之前。有两种方法来做到：使用continue语句直接跳到循环的下一次迭代。使用break完全中止循环。
break语句,可以终止当前的循环，包括while和for在内的所有控制语句。
continue语句,只能终止本次循环而提前进入到下一次循环中。
pass语句,表示空语句。它不做任何事情，一般起到占位作用。
