entity,defination
注释,在程序中，注释就是对代码的解释和说明，如同价格标签一样让他人了解代码实现的功能，从而帮助程序员更好地阅读代码。注释的内容将被Python解释器忽略，并不会在执行结果中体现出来。
代码缩进,Python不像其他程序设计语言（如Java或者C语言）釆用大括号“{}”分隔代码块，而是采用代码缩进和冒号“:"区分代码之间的层次。缩进可以使用空格或者＜Tab＞键实现。其中，使用空格时，通常情况下采用4个空格作为一个缩进量，而使用Tab键时，则采用一个Tab键作为一个缩进量。通常情况下建议采用空格进行缩进。
编码规范,-
保留字,保留字是Python语言中一些已经被赋予特定意义的单词。开发程序时，不可以把这些保留字作为变量、函数、类、模块和其他对象的名称来使用。
标识符,标识符可以简单地理解为一个名字，比如每个人都有自己的名字，它主要用来标识变量、函数、 类、模块和其他对象的名称。
变量,在Python中，变量严格意义上应该称为“名字”，也可以理解为标签。如果将值“学会Python还可以飞”赋给python，那么python就是变量。在大多数编程语言中，都把这一过程称为“把值存储在变量中”，意思是在计算机内存中的某个位置。字符串序列“学会Python还可以飞”己经存在。你不需要准确地知道它们到底在哪里，只要告诉Python这个字符串序列的名字是python，就可以通过这个名字来引用这个字符串序列了。这个过程就像快递员取快递一样，内存就像一个巨大的货物架，在 Python中定义变量就如同给快递盒子贴标签，如图2.18所示。
变量的定义,在Python中，不需要先声明变量名及其类型，直接赋值即可创建各种类型的变量。
基本数据类型,在内存中存储的数据可以有多种类型。例如：一个人的姓名可以用字符型存储，年龄可以使用数 值型存储，婚姻状况可以使用布尔型存储。这里的字符型、数值型、布尔型都是Python语言中提供的基本数据类型。
数字类型,在生活中，经常使用数字记录比赛得分、公司的销售数据和网站的访问量等信息。在Python语言中，提供了数字类型用于保存这些数值，并且它们是不可改变的数据类型。如果修改数字类型变量的值，那么会先把该值存放到内存中，然后修改变量让其指向新的内存地址。在Python语言中，数字类型主要包括整数、浮点数和复数。
字符串类型,字符串就是连续的字符序列，可以是计算机所能表示的一切字符的集合。在Python中，字符串属于不可变序列，通常使用单引号、双引号或者三引号括起来。这三种引号形式在语义上没有差别，只是在形式上有些差别。其中单引号和双引号中的字符序列必须在一行上，而三引号内的字符序列可以分布在连续的多行上。
布尔类型,布尔类型主要用来表示真值或假值。在Python中，标识符True和False被解释为布尔值。另外，Python中的布尔值可以转化为数值，True表示1，False表示0。
数据类型转换,-
运算符,算符是一些特殊的符号，主要用于数学计算、比较大小和逻辑运算等。Python的运算符主要包括算术运算符、赋值运算符、比较（关系）运算符、逻辑运算符和位运算符。使用运算符将不同类型的数据按照一定的规则连接起来的式子，称为表达式。例如，使用算术运算符连接起来的式子称为算 术表达式，使用逻辑运算符连接起来的式子称为逻辑表达式。
算术运算符,算术运算符是处理四则运算的符号，在数字的处理中应用得最多。
赋值运算符,赋值运算符主要用来为变量等赋值。使用时，可以直接把基本赋值运算符右边的值赋给左边的变量，也可以进行某些运算后再赋值给左边的变量。
比较运算符,比较运算符，也称关系运算符，用于对变量或表达式的结果进行大小、真假等比较，如果比较结果为真，则返回True，如果为假，则返回False。比较运算符通常用在条件语句中作为判断的依据。
关系运算符,-
逻辑运算符,逻辑运算符是对真和假两种布尔值进行运算，运算后的结果仍是一个布尔值，Python中的逻辑运算符主要包括逻辑与、逻辑或、逻辑非。
位运算符,位运算符是把数字看作二进制数来进行计算的，因此，需要先将要执行运算的数据转换为二进制，然后才能进行执行运算。Python中的位运算符有位与、位或、位异或、取反、左移位和右移位运算符。
运算符的优先级,所谓运算符的优先级，是指在应用中哪一个运算符先计算，哪一个后计算，与数学的四则运算应遵循的“先乘除，后加减”是一个道理。
input函数,-
print函数,-
位与,-
位或,-
位异或,-
取反-,
左移位,-
右移位,-
逻辑与,-
逻辑或,-
逻辑非,-
