entity,defination
网络爬虫,又被称为网络蜘蛛、网络机器人，在某社区中经常被称为网页追逐者，可以按照指定的规则（网络爬虫的算法）自动浏览或抓取网络中的信息，通过Python可以很轻松地编写腰虫程序或者是脚本。
网络请求,-
headers处理,有时在请求一个网页内容时，发现无论通过GET或者是POST以及其他请求方式，都会岀现403错误。产生这种错误是由于该网页为了防止恶意采集信息而使用了反爬虫设置，从而拒绝了用户的访问。此时可以通过模拟浏览器的头部信息来进行访问，这样就能解决以上反爬设置的问题。
网络超时,在访问一个网页时，如果该网页长时间未响应，系统就会判断该网页超时，所以无法打开网页。
代理服务,在爬取网页的过程中，经常会出现不久前可以爬取的网页现在无法爬取了，这是因为您的IP被爬取网站的服务器所屏蔽了。此时代理服务可以为您解决这一麻烦，设置代理时，首先需要找到代理地址，例如，122.114.31.177，对应的端口号为808，完整的格式为122.114.31.177:808。
Beautiful-Soup,Beautiful-Soup是一个用于从HTML和XML文件中提取数据的Python库。Beautiful-Soup提供一些简单的、函数用来处理导航、搜索、修改分析树等功能。Beautiful-Soup模块中的査找提取功能非常强大，而且非常便捷，它通常可以节省程序员大量的工作时间。
网络爬虫框架,爬虫框架就是一些爬虫项目的半成品，可以将一些爬虫常用的功能写好。然后留下一些接口，在不同的爬虫项目中，调用适合自己项目的接口，再编写少量的代码实现自己需要的功能。
Scrapy爬虫框架,Scrapy框架是一套比较成熟的Python爬虫框架，简单轻巧，并且非常方便，可以高效率地爬取Web页面并从页面中提取结构化的数据。
Crawley爬虫框架,Crawley也是Python开发出的爬虫框架，该框架致力于改变人们从互联网中提取数据的方式。
PySpider爬虫框架,PySpider框架釆用Python语言编写，分布式架构，支持多种数据库后端，强大的WebUI支持脚本编辑器，任务监视器，项目管理器以及结果查看器。
QT,QT是Python开发窗体的工具之一，它不仅与Python有着良好的兼容性，还可以通过可视化拖曳的方式进行窗体的创建，提高开发人员的开发效率，因此受到广大开发人员的喜爱。
